feature_id,features,propertyType,zoning
88,"{""exteriorType"": ""Brick"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Radiant"", ""roofType"": ""Metal"", ""unitCount"": 1, ""architectureType"": ""Townhouse""}",Single Family,DBO
89,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,MEDIUM INTENSITY DIST
90,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Built-in Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 6}",Single Family,Unknown
91,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air""}",Single Family,Unknown
92,"{""exteriorType"": ""Shingle"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt""}",Single Family,R1
93,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,Unknown
94,"{""exteriorType"": ""Vinyl"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Masonry"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Radiant"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RESIDENTIAL
95,"{""exteriorType"": ""Stucco"", ""floorCount"": 1, ""unitCount"": 1}",Single Family,2800:TOWNHOUSE
96,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal"", ""unitCount"": 1}",Single Family,RS2
97,"{""architectureType"": ""Duplex"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 10, ""unitCount"": 2}",Duplex-Triplex,R2B
98,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Slate"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R1M
99,"{""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Concrete"", ""roofType"": ""Shingle (Not Wood)"", ""unitCount"": 1}",Single Family,R-3
100,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,R-1:SINGLE FAM-RES
101,"{""architectureType"": ""Cape Cod"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,U1
102,"{""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,Unknown
103,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt""}",Single Family,Unknown
104,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,Unknown
105,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RAG
106,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Concrete"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,EZ
107,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Wood"", ""roomCount"": 5, ""unitCount"": 1, ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle""}",Condo,Unknown
108,"{""architectureType"": ""Split Foyer"", ""cooling"": true, ""coolingType"": ""Other"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""foundationType"": ""Concrete Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 9}",Single Family,Unknown
109,NaN,Land,Unknown
110,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,Unknown
111,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,Unknown
112,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R2
113,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
114,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R4
115,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""heating"": true, ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",Single Family,RSA5
116,"{""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,R-1:SINGLE FAM-RES
117,"{""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""Vinyl"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump""}",Single Family,Unknown
118,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,CK MAP
119,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RS3
120,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Masonry"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,RS9
121,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,Unknown
122,{},Condo,Unknown
123,"{""exteriorType"": ""Brick"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",Single Family,RSA3
124,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,R60
125,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Concrete Tile"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R-6
126,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Siding"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 5}",Condo,Unknown
127,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asbestos"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RU19
128,"{""unitCount"": 1}",Single Family,Unknown
129,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,R-8C(R-8 W/CLUSTER DEV)
130,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Other"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,Unknown
131,"{""architectureType"": ""Colonial"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Shingle"", ""roomCount"": 8}",Single Family,PLANNED DEVELOPMENT
132,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5}",Condo,Unknown
133,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,PUD
134,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Concrete Block"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Underground / Basement"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
135,"{""architectureType"": ""Old Style"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
136,"{""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Gas"", ""cooling"": true, ""coolingType"": ""Central""}",Single Family,Unknown
137,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Shingle"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,Unknown
138,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Gravity"", ""roofType"": ""Other"", ""unitCount"": 1}",Single Family,R-10
139,"{""heating"": true, ""heatingType"": ""Forced Air""}",Duplex-Triplex,Unknown
140,"{""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""roomCount"": 7, ""unitCount"": 1}",Single Family,R1-8
141,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""foundationType"": ""Masonry"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,R-100
142,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,RA
143,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
144,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,RR
145,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,ARPSF
146,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,E2
147,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Masonry"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8}",Single Family,R-3-PLANNED NBHD RESIDENT
148,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile""}",Single Family,Unknown
149,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Wood"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,R2
150,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""OTHER"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,PD
151,"{""floorCount"": 1, ""heating"": true, ""heatingType"": ""Floor / Wall"", ""unitCount"": 1}",Single Family,COR3*
152,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
153,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 7, ""unitCount"": 1, ""roofType"": ""Composition Shingle""}",Single Family,R75-SINGLE FAM RES
154,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""foundationType"": ""OTHER""}",Single Family,Unknown
155,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
156,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 4, ""unitCount"": 1}",Single Family,1F
157,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle""}",Single Family,MPUD
158,"{""architectureType"": ""Log Cabin / Rustic"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Combination"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Other"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,RIC
159,"{""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Composition Shingle""}",Single Family,Unknown
160,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Baseboard"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
161,"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,GDE6
162,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,R5
163,"{""architectureType"": ""Condo / Apartment"", ""floorCount"": 2, ""unitCount"": 1}",Condo,R3-2
164,"{""architectureType"": ""Duplex Single"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""heating"": true, ""viewType"": ""Average""}",Townhouse,RSA3
165,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Basement"", ""unitCount"": 1}",Single Family,R-15
166,"{""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8}",Single Family,Unknown
167,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,Unknown
168,"{""floorCount"": 1, ""roomCount"": 3, ""unitCount"": 1}",Condo,Unknown
169,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""roomCount"": 5}",Single Family,RS10
170,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Block"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,MR
171,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central""}",Single Family,Unknown
